w	worker	slice	seq	row	word	verdicts	sweep_s	first_in_list	rc	diverged	platform	tree	wall_s	post_s	banked	manifest_pins	cost_i9_s	reserved
4	i9-13900K (sweeper)	2	28	encoding/base32	PASS	26	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	15	0	yes	0	28	0
4	i9-13900K (sweeper)	2	29	go/ast/internal/tests	PASS	3	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	0	28	0
4	i9-13900K (sweeper)	2	30	internal/coverage/slicereader	PASS	1	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	0	28	0
4	i9-13900K (sweeper)	2	31	io	PASS	60	16	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	16	0	yes	1	28	0
4	i9-13900K (sweeper)	2	32	crypto/elliptic	PASS	82	15	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	16	0	yes	0	27	0
4	i9-13900K (sweeper)	2	33	debug/macho	PASS	7	15	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	16	0	yes	0	27	0
4	i9-13900K (sweeper)	2	34	hash/adler32	PASS	2	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	0	27	0
4	i9-13900K (sweeper)	2	35	internal/coverage/test	PASS	6	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	0	27	0
4	i9-13900K (sweeper)	2	36	internal/dag	PASS	6	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	27	0
4	i9-13900K (sweeper)	2	37	testing/slogtest	PASS	17	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	27	0
4	i9-13900K (sweeper)	2	38	container/list	PASS	10	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	12	0	yes	0	26	0
4	i9-13900K (sweeper)	2	39	crypto/sha1	PASS	12	16	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	17	0	yes	1	26	0
4	i9-13900K (sweeper)	2	40	hash/crc32	PASS	10	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	26	0
4	i9-13900K (sweeper)	2	41	hash/fnv	PASS	19	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	26	0
4	i9-13900K (sweeper)	2	42	iter	PASS	28	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	12	0	yes	0	26	0
4	i9-13900K (sweeper)	2	43	bufio	PASS	80	15	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	15	0	yes	1	25	0
