# Digest of `go build -a -gcflags=-m std` (go1.24.13, amd64), per GOOS: verdict lines per std package directory.
# The full outputs are ~137K lines per GOOS and are regenerated by the command in README.md; this digest is what they are checked against.
TOTAL windows: lines=136781 does-not-escape=18767 escapes-to-heap=22278 leaking-param=14676 moved-to-heap=943 can-inline=13961 inlining-call=60900
TOTAL linux: lines=137238 does-not-escape=18702 escapes-to-heap=22363 leaking-param=14711 moved-to-heap=963 can-inline=14253 inlining-call=61016
TOTAL darwin: lines=136368 does-not-escape=18685 escapes-to-heap=22219 leaking-param=14603 moved-to-heap=920 can-inline=14099 inlining-call=60567

package	windows:does	windows:escapes	windows:leaking	windows:moved	linux:does	linux:escapes	linux:leaking	linux:moved	darwin:does	darwin:escapes	darwin:leaking	darwin:moved
runtime	1618	355	752	0	1624	346	777	0	1644	344	750	0
runtime/cgo	0	0	0	0	2	4	3	0	0	0	0	0
runtime/coverage	0	0	4	0	0	0	4	0	0	0	4	0
runtime/debug	17	33	6	0	16	33	7	0	16	33	7	0
runtime/metrics	3	6	2	0	3	6	2	0	3	6	2	0
runtime/pprof	99	133	119	2	98	134	119	1	106	135	121	1
runtime/trace	3	10	19	0	3	10	19	0	3	10	19	0
slices	1	73	0	66	1	73	0	66	1	73	0	66
sort	53	4	27	0	53	4	27	0	53	4	27	0
strconv	75	98	34	0	75	98	34	0	75	98	34	0
strings	120	86	96	11	120	86	96	11	120	86	96	11
sync	65	59	65	115	62	59	65	115	56	51	65	95
sync/atomic	75	7	15	0	75	7	15	0	75	7	15	0
syscall	420	242	43	2	316	263	31	10	249	215	27	12
testing	274	351	181	13	276	352	180	13	275	351	180	13
testing/fstest	80	141	69	0	80	141	69	0	80	141	69	0
testing/internal/testdeps	2	7	26	1	2	7	26	1	2	7	26	1
testing/iotest	47	84	28	0	47	84	28	0	47	84	28	0
testing/quick	6	25	22	1	6	25	22	1	6	25	22	1
testing/slogtest	133	252	62	1	133	252	62	1	133	252	62	1
text/scanner	12	15	21	0	12	15	21	0	12	15	21	0
text/tabwriter	14	7	21	0	14	7	21	0	14	7	21	0
text/template	123	230	218	10	123	230	218	10	123	230	218	10
text/template/parse	93	186	239	10	93	186	239	10	93	186	239	10
time	133	136	103	1	154	126	73	1	154	126	73	1
time/tzdata	3	4	0	0	3	4	0	0	3	4	0	0
unicode	11	5	1	0	11	5	1	0	11	5	1	0
unicode/utf16	3	2	2	0	3	2	2	0	3	2	2	0
unicode/utf8	13	0	2	0	13	0	2	0	13	0	2	0
unique	3	7	3	0	3	7	3	0	3	7	3	0
vendor/golang.org/x/crypto/chacha20	22	11	2	0	22	11	2	0	22	11	2	0
vendor/golang.org/x/crypto/chacha20poly1305	60	26	10	0	60	26	10	0	60	26	10	0
vendor/golang.org/x/crypto/cryptobyte	113	122	91	0	113	122	91	0	113	122	91	0
vendor/golang.org/x/crypto/internal/alias	4	0	0	0	4	0	0	0	4	0	0	0
vendor/golang.org/x/crypto/internal/poly1305	35	8	1	0	35	8	1	0	35	8	1	0
vendor/golang.org/x/net/dns/dnsmessage	200	147	47	11	200	147	47	11	200	147	47	11
vendor/golang.org/x/net/http/httpguts	11	3	2	0	11	3	2	0	11	3	2	0
vendor/golang.org/x/net/http/httpproxy	21	16	11	3	21	16	11	3	21	16	11	3
vendor/golang.org/x/net/http2/hpack	38	49	39	1	38	49	39	1	38	49	39	1
vendor/golang.org/x/net/idna	50	50	24	1	50	50	24	1	50	50	24	1
vendor/golang.org/x/net/nettest	49	82	59	13	50	82	59	13	50	82	59	13
vendor/golang.org/x/net/route	0	0	0	0	0	0	0	0	40	41	19	3
vendor/golang.org/x/sys/cpu	6	4	0	0	7	5	0	0	18	5	0	0
vendor/golang.org/x/text/secure/bidirule	16	1	0	0	16	1	0	0	16	1	0	0
vendor/golang.org/x/text/transform	13	20	28	1	13	20	28	1	13	20	28	1
vendor/golang.org/x/text/unicode/bidi	113	40	19	0	113	40	19	0	113	40	19	0
vendor/golang.org/x/text/unicode/norm	73	29	76	8	73	29	76	8	73	29	76	8
